Time	Node	Type	Packets	
3	27	CacheHits	828
3	27	CacheMisses	320
3	28	CacheHits	222
3	28	CacheMisses	312
3	29	CacheHits	145
3	29	CacheMisses	312
3	30	CacheHits	628
3	30	CacheMisses	319
3	31	CacheHits	477
3	31	CacheMisses	320
3	32	CacheHits	237
3	32	CacheMisses	318
3	33	CacheHits	752
3	33	CacheMisses	321
3	34	CacheHits	306
3	34	CacheMisses	321
3	35	CacheHits	589
3	35	CacheMisses	318
3	36	CacheHits	482
3	36	CacheMisses	319
3	37	CacheHits	337
3	37	CacheMisses	321
3	38	CacheHits	286
3	38	CacheMisses	321
3	39	CacheHits	18
3	39	CacheMisses	319
3	40	CacheHits	429
3	40	CacheMisses	318
3	41	CacheHits	325
3	41	CacheMisses	319
3	42	CacheHits	475
3	42	CacheMisses	320
3	43	CacheHits	292
3	43	CacheMisses	323
3	44	CacheHits	335
3	44	CacheMisses	322
3	45	CacheHits	359
3	45	CacheMisses	322
3	46	CacheHits	236
3	46	CacheMisses	320
3	47	CacheHits	390
3	47	CacheMisses	320
3	48	CacheHits	451
3	48	CacheMisses	321
3	49	CacheHits	249
3	49	CacheMisses	319
4	0	CacheHits	579
4	0	CacheMisses	315
4	1	CacheHits	381
4	1	CacheMisses	316
4	2	CacheHits	674
4	2	CacheMisses	316
4	3	CacheHits	309
4	3	CacheMisses	317
4	4	CacheHits	256
4	4	CacheMisses	312
4	5	CacheHits	277
4	5	CacheMisses	314
4	6	CacheHits	224
4	6	CacheMisses	315
4	7	CacheHits	287
4	7	CacheMisses	315
4	8	CacheHits	335
4	8	CacheMisses	316
4	9	CacheHits	218
4	9	CacheMisses	315
4	10	CacheHits	364
4	10	CacheMisses	316
4	11	CacheHits	239
4	11	CacheMisses	317
4	12	CacheHits	372
4	12	CacheMisses	317
4	13	CacheHits	187
4	13	CacheMisses	313
4	14	CacheHits	596
4	14	CacheMisses	316
4	15	CacheHits	244
4	15	CacheMisses	317
4	16	CacheHits	748
4	16	CacheMisses	316
4	17	CacheHits	735
4	17	CacheMisses	316
4	18	CacheHits	312
4	18	CacheMisses	310
4	19	CacheHits	416
4	19	CacheMisses	317
4	20	CacheHits	240
4	20	CacheMisses	316
4	21	CacheHits	597
4	21	CacheMisses	315
4	22	CacheHits	331
4	22	CacheMisses	315
4	23	CacheHits	175
4	23	CacheMisses	314
4	24	CacheHits	269
4	24	CacheMisses	315
4	25	CacheHits	319
4	25	CacheMisses	315
4	26	CacheHits	228
4	26	CacheMisses	317
4	27	CacheHits	735
4	27	CacheMisses	316
4	28	CacheHits	274
4	28	CacheMisses	312
4	29	CacheHits	235
4	29	CacheMisses	317
4	30	CacheHits	502
4	30	CacheMisses	316
4	31	CacheHits	457
4	31	CacheMisses	315
4	32	CacheHits	276
4	32	CacheMisses	314
4	33	CacheHits	673
4	33	CacheMisses	316
4	34	CacheHits	251
4	34	CacheMisses	317
4	35	CacheHits	506
4	35	CacheMisses	317
4	36	CacheHits	433
4	36	CacheMisses	316
4	37	CacheHits	277
4	37	CacheMisses	315
4	38	CacheHits	274
4	38	CacheMisses	316
4	39	CacheHits	133
4	39	CacheMisses	310
4	40	CacheHits	368
4	40	CacheMisses	317
4	41	CacheHits	279
4	41	CacheMisses	316
4	42	CacheHits	459
4	42	CacheMisses	317
4	43	CacheHits	241
4	43	CacheMisses	313
4	44	CacheHits	335
4	44	CacheMisses	316
4	45	CacheHits	268
4	45	CacheMisses	313
4	46	CacheHits	237
4	46	CacheMisses	317
4	47	CacheHits	366
4	47	CacheMisses	317
4	48	CacheHits	392
4	48	CacheMisses	316
4	49	CacheHits	237
4	49	CacheMisses	314
5	0	CacheHits	546
5	0	CacheMisses	238
5	1	CacheHits	371
5	1	CacheMisses	237
5	2	CacheHits	666
5	2	CacheMisses	239
5	3	CacheHits	335
5	3	CacheMisses	238
5	4	CacheHits	275
5	4	CacheMisses	237
5	5	CacheHits	295
5	5	CacheMisses	241
5	6	CacheHits	263
5	6	CacheMisses	238
5	7	CacheHits	301
5	7	CacheMisses	243
5	8	CacheHits	387
5	8	CacheMisses	238
5	9	CacheHits	226
5	9	CacheMisses	238
5	10	CacheHits	326
5	10	CacheMisses	239
5	11	CacheHits	184
5	11	CacheMisses	239
5	12	CacheHits	399
5	12	CacheMisses	236
5	13	CacheHits	185
5	13	CacheMisses	239
5	14	CacheHits	545
5	14	CacheMisses	238
5	15	CacheHits	271
5	15	CacheMisses	237
5	16	CacheHits	646
5	16	CacheMisses	240
5	17	CacheHits	611
5	17	CacheMisses	239
5	18	CacheHits	332
5	18	CacheMisses	238
5	19	CacheHits	416
5	19	CacheMisses	238
5	20	CacheHits	267
5	20	CacheMisses	238
5	21	CacheHits	556
5	21	CacheMisses	238
5	22	CacheHits	333
5	22	CacheMisses	240
5	23	CacheHits	181
5	23	CacheMisses	237
5	24	CacheHits	222
5	24	CacheMisses	240
5	25	CacheHits	321
5	25	CacheMisses	239
5	26	CacheHits	253
5	26	CacheMisses	239
5	27	CacheHits	730
5	27	CacheMisses	238
5	28	CacheHits	290
5	28	CacheMisses	236
5	29	CacheHits	259
5	29	CacheMisses	237
5	30	CacheHits	524
5	30	CacheMisses	238
5	31	CacheHits	476
5	31	CacheMisses	240
5	32	CacheHits	274
5	32	CacheMisses	238
5	33	CacheHits	553
5	33	CacheMisses	236
5	34	CacheHits	258
5	34	CacheMisses	238
5	35	CacheHits	479
5	35	CacheMisses	237
5	36	CacheHits	452
5	36	CacheMisses	238
5	37	CacheHits	277
5	37	CacheMisses	238
5	38	CacheHits	248
5	38	CacheMisses	237
5	39	CacheHits	151
5	39	CacheMisses	238
5	40	CacheHits	411
5	40	CacheMisses	238
5	41	CacheHits	257
5	41	CacheMisses	241
5	42	CacheHits	462
5	42	CacheMisses	239
5	43	CacheHits	249
5	43	CacheMisses	239
5	44	CacheHits	340
5	44	CacheMisses	239
5	45	CacheHits	273
5	45	CacheMisses	238
5	46	CacheHits	272
5	46	CacheMisses	236
5	47	CacheHits	347
5	47	CacheMisses	237
5	48	CacheHits	346
5	48	CacheMisses	237
5	49	CacheHits	260
5	49	CacheMisses	238
6	0	CacheHits	547
6	0	CacheMisses	263
6	1	CacheHits	296
6	1	CacheMisses	262
6	2	CacheHits	711
6	2	CacheMisses	262
6	3	CacheHits	325
6	3	CacheMisses	260
6	4	CacheHits	229
6	4	CacheMisses	263
6	5	CacheHits	273
6	5	CacheMisses	260
6	6	CacheHits	278
6	6	CacheMisses	262
6	7	CacheHits	283
6	7	CacheMisses	257
6	8	CacheHits	385
6	8	CacheMisses	263
6	9	CacheHits	180
6	9	CacheMisses	262
6	10	CacheHits	341
6	10	CacheMisses	261
6	11	CacheHits	189
6	11	CacheMisses	259
6	12	CacheHits	327
6	12	CacheMisses	264
6	13	CacheHits	176
6	13	CacheMisses	263
6	14	CacheHits	516
6	14	CacheMisses	262
6	15	CacheHits	211
6	15	CacheMisses	261
6	16	CacheHits	591
6	16	CacheMisses	260
6	17	CacheHits	579
6	17	CacheMisses	260
6	18	CacheHits	306
6	18	CacheMisses	261
6	19	CacheHits	434
6	19	CacheMisses	263
6	20	CacheHits	200
6	20	CacheMisses	264
6	21	CacheHits	526
6	21	CacheMisses	262
6	22	CacheHits	341
6	22	CacheMisses	262
6	23	CacheHits	149
6	23	CacheMisses	265
6	24	CacheHits	222
6	24	CacheMisses	260
6	25	CacheHits	337
6	25	CacheMisses	261
6	26	CacheHits	178
6	26	CacheMisses	260
6	27	CacheHits	719
6	27	CacheMisses	260
6	28	CacheHits	255
6	28	CacheMisses	262
6	29	CacheHits	274
6	29	CacheMisses	263
6	30	CacheHits	509
6	30	CacheMisses	262
6	31	CacheHits	440
6	31	CacheMisses	261
6	32	CacheHits	299
6	32	CacheMisses	262
6	33	CacheHits	518
6	33	CacheMisses	262
6	34	CacheHits	242
6	34	CacheMisses	260
6	35	CacheHits	471
6	35	CacheMisses	263
6	36	CacheHits	499
6	36	CacheMisses	263
6	37	CacheHits	277
6	37	CacheMisses	261
6	38	CacheHits	219
6	38	CacheMisses	262
6	39	CacheHits	120
6	39	CacheMisses	264
6	40	CacheHits	339
6	40	CacheMisses	263
6	41	CacheHits	215
6	41	CacheMisses	260
6	42	CacheHits	444
6	42	CacheMisses	260
6	43	CacheHits	197
6	43	CacheMisses	262
6	44	CacheHits	322
6	44	CacheMisses	259
6	45	CacheHits	318
6	45	CacheMisses	262
6	46	CacheHits	227
6	46	CacheMisses	263
6	47	CacheHits	342
6	47	CacheMisses	261
6	48	CacheHits	331
6	48	CacheMisses	262
6	49	CacheHits	228
6	49	CacheMisses	264
7	0	CacheHits	467
7	0	CacheMisses	275
7	1	CacheHits	261
7	1	CacheMisses	273
7	2	CacheHits	611
7	2	CacheMisses	271
7	3	CacheHits	293
7	3	CacheMisses	276
7	4	CacheHits	247
7	4	CacheMisses	273
7	5	CacheHits	186
7	5	CacheMisses	273
7	6	CacheHits	241
7	6	CacheMisses	274
7	7	CacheHits	288
7	7	CacheMisses	271
7	8	CacheHits	261
7	8	CacheMisses	272
7	9	CacheHits	131
7	9	CacheMisses	273
7	10	CacheHits	271
7	10	CacheMisses	274
7	11	CacheHits	169
7	11	CacheMisses	276
7	12	CacheHits	264
7	12	CacheMisses	272
7	13	CacheHits	132
7	13	CacheMisses	271
7	14	CacheHits	468
7	14	CacheMisses	271
7	15	CacheHits	207
7	15	CacheMisses	273
7	16	CacheHits	521
7	16	CacheMisses	268
7	17	CacheHits	499
7	17	CacheMisses	268
7	18	CacheHits	261
7	18	CacheMisses	275
7	19	CacheHits	378
7	19	CacheMisses	270
7	20	CacheHits	220
7	20	CacheMisses	272
7	21	CacheHits	464
7	21	CacheMisses	275
7	22	CacheHits	274
7	22	CacheMisses	273
7	23	CacheHits	136
7	23	CacheMisses	276
7	24	CacheHits	182
7	24	CacheMisses	275
7	25	CacheHits	336
7	25	CacheMisses	272
7	26	CacheHits	171
7	26	CacheMisses	275
7	27	CacheHits	600
7	27	CacheMisses	272
7	28	CacheHits	230
7	28	CacheMisses	274
7	29	CacheHits	259
