Time	Node	Type	Packets	
32	103	CacheHits	0
32	103	CacheMisses	0
33	100	CacheHits	0
33	100	CacheMisses	0
33	101	CacheHits	0
33	101	CacheMisses	0
33	102	CacheHits	0
33	102	CacheMisses	0
33	103	CacheHits	0
33	103	CacheMisses	0
34	100	CacheHits	0
34	100	CacheMisses	0
34	101	CacheHits	0
34	101	CacheMisses	0
34	102	CacheHits	0
34	102	CacheMisses	0
34	103	CacheHits	0
34	103	CacheMisses	0
35	100	CacheHits	0
35	100	CacheMisses	0
35	101	CacheHits	0
35	101	CacheMisses	0
35	102	CacheHits	0
35	102	CacheMisses	0
35	103	CacheHits	0
35	103	CacheMisses	0
36	100	CacheHits	0
36	100	CacheMisses	0
36	101	CacheHits	0
36	101	CacheMisses	0
36	102	CacheHits	0
36	102	CacheMisses	0
36	103	CacheHits	0
36	103	CacheMisses	0
37	100	CacheHits	0
37	100	CacheMisses	0
37	101	CacheHits	0
37	101	CacheMisses	0
37	102	CacheHits	0
37	102	CacheMisses	0
37	103	CacheHits	0
37	103	CacheMisses	0
38	100	CacheHits	0
38	100	CacheMisses	0
38	101	CacheHits	0
38	101	CacheMisses	0
38	102	CacheHits	0
38	102	CacheMisses	0
38	103	CacheHits	0
38	103	CacheMisses	0
39	100	CacheHits	0
39	100	CacheMisses	0
39	101	CacheHits	0
39	101	CacheMisses	0
39	102	CacheHits	0
39	102	CacheMisses	0
39	103	CacheHits	0
39	103	CacheMisses	0
40	100	CacheHits	0
40	100	CacheMisses	0
40	101	CacheHits	0
40	101	CacheMisses	0
40	102	CacheHits	0
40	102	CacheMisses	0
40	103	CacheHits	0
40	103	CacheMisses	0
41	100	CacheHits	0
41	100	CacheMisses	0
41	101	CacheHits	0
41	101	CacheMisses	0
41	102	CacheHits	0
41	102	CacheMisses	0
41	103	CacheHits	0
41	103	CacheMisses	0
42	100	CacheHits	0
42	100	CacheMisses	0
42	101	CacheHits	0
42	101	CacheMisses	0
42	102	CacheHits	0
42	102	CacheMisses	0
42	103	CacheHits	0
42	103	CacheMisses	0
43	100	CacheHits	0
43	100	CacheMisses	0
43	101	CacheHits	0
43	101	CacheMisses	0
43	102	CacheHits	0
43	102	CacheMisses	0
43	103	CacheHits	0
43	103	CacheMisses	0
44	100	CacheHits	0
44	100	CacheMisses	0
44	101	CacheHits	0
44	101	CacheMisses	0
44	102	CacheHits	0
44	102	CacheMisses	0
44	103	CacheHits	0
44	103	CacheMisses	0
45	100	CacheHits	0
45	100	CacheMisses	0
45	101	CacheHits	0
45	101	CacheMisses	0
45	102	CacheHits	0
45	102	CacheMisses	0
45	103	CacheHits	0
45	103	CacheMisses	0
46	100	CacheHits	0
46	100	CacheMisses	0
46	101	CacheHits	0
46	101	CacheMisses	0
46	102	CacheHits	0
46	102	CacheMisses	0
46	103	CacheHits	0
46	103	CacheMisses	0
47	100	CacheHits	0
47	100	CacheMisses	0
47	101	CacheHits	0
47	101	CacheMisses	0
47	102	CacheHits	0
47	102	CacheMisses	0
47	103	CacheHits	0
47	103	CacheMisses	0
48	100	CacheHits	0
48	100	CacheMisses	0
48	101	CacheHits	0
48	101	CacheMisses	0
48	102	CacheHits	0
48	102	CacheMisses	0
48	103	CacheHits	0
48	103	CacheMisses	0
49	100	CacheHits	0
49	100	CacheMisses	0
49	101	CacheHits	0
49	101	CacheMisses	0
49	102	CacheHits	0
49	102	CacheMisses	0
49	103	CacheHits	0
49	103	CacheMisses	0
50	100	CacheHits	0
50	100	CacheMisses	0
50	101	CacheHits	0
50	101	CacheMisses	0
50	102	CacheHits	0
50	102	CacheMisses	0
50	103	CacheHits	0
50	103	CacheMisses	0
51	100	CacheHits	0
51	100	CacheMisses	0
51	101	CacheHits	0
51	101	CacheMisses	0
51	102	CacheHits	0
51	102	CacheMisses	0
51	103	CacheHits	0
51	103	CacheMisses	0
52	100	CacheHits	0
52	100	CacheMisses	0
52	101	CacheHits	0
52	101	CacheMisses
